PHILIPPINES,Year,Month,Price,Annual Price,MonthNum,Date
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2020,April,33.51,32.82,4,4/1/2020
"GABI LEAVES (DAHON NG GABI), 1 KG",2020,April,74.14,75.57,4,4/1/2020
"KANGKONG (WATER SPINACH), 1 KG",2020,April,35.07,35.53,4,4/1/2020
"MALUNGGAY (MORINGA), 1 KG",2020,April,44.57,44.85,4,4/1/2020
"BOK CHOY (CHINESE CABBAGE), 1 KG",2020,April,68.97,62.33,4,4/1/2020
"PECHAY (NATIVE), 1 KG",2020,April,66.54,68.3,4,4/1/2020
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2020,April,101.46,104.21,4,4/1/2020
"SILING LABUYO (WILD CHILI), 1 KG",2020,April,200.25,236.17,4,4/1/2020
"SIBUYAS (ONION), 1 KG",2020,April,145.05,167.65,4,4/1/2020
"LABANOS (RADISH), 1 KG",2020,April,28.52,37.69,4,4/1/2020
"SITAW (STRING BEAN), 1 KG",2020,April,35.23,47.13,4,4/1/2020
"AMPALAYA (BITTER GOURD), 1 KG",2020,April,40.93,53.07,4,4/1/2020
"UPO (BOTTLE GOURD), 1 KG",2020,April,35.45,43.17,4,4/1/2020
"TALONG (EGGPLANT), (NATIVE), 1 KG",2020,April,30.15,43.23,4,4/1/2020
"LUYA (GINGER), 1 KG",2020,April,95.66,120.42,4,4/1/2020
"BAWANG (GARLIC), 1 KG",2020,April,180.99,206.77,4,4/1/2020
"KAMATIS (TOMATO), 1 KG",2020,April,40.48,58.21,4,4/1/2020
"KAROT (CARROT), 1 KG",2020,April,55.19,66.4,4,4/1/2020
"BROKOLI (BROCCOLI), 1 KG",2020,April,125.72,138.97,4,4/1/2020
"SINGKAMAS (JICAMA), 1 KG",2020,April,21.64,30.73,4,4/1/2020
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2020,April,125.31,138.96,4,4/1/2020
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2020,April,46.99,59.54,4,4/1/2020
"MUSTASA (MUSTARD LEAVE), 1 KG",2020,April,31.98,41.08,4,4/1/2020
"SAYOTE (CHAYOTE), 1 KG",2020,April,26.25,33.92,4,4/1/2020
"KALABASA (SQUASH), 1 KG",2020,April,18.88,27.42,4,4/1/2020
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2020,April,14.11,21.24,4,4/1/2020
"OKRA, 1 KG",2020,April,35.99,47.22,4,4/1/2020
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2020,April,90.11,116.74,4,4/1/2020
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2020,April,50.89,64.71,4,4/1/2020
"SAMPALOC (TAMARIND), 1 KG",2020,April,65.91,77.92,4,4/1/2020
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2020,April,35.92,46.65,4,4/1/2020
"PATOLA (SPONGE GOURD), 1 KG",2020,April,30.12,42.78,4,4/1/2020
"PATANI (LIMA BEAN), 1 KG",2020,April,35.03,47.43,4,4/1/2020
"SALUYOT (JUTE MALLOW), 1 KG",2020,April,30.05,42.35,4,4/1/2020
"KADYOS (PIGEON BEAN), 1 KG",2020,April,45.88,58.09,4,4/1/2020
"BATAW (HYACINTH BEAN), 1 KG",2020,April,35.88,48.36,4,4/1/2020
"KAMOTENG KAHOY (CASSAVA), 1 KG",2020,April,35.92,43.86,4,4/1/2020
"GABI (TARRO), 1 KG",2020,April,45.88,58.62,4,4/1/2020
"SILING-TAMBAN (BELL PEPPER), 1 KG",2020,April,65.14,80.44,4,4/1/2020
"PATATAS (POTATO), 1 KG",2020,April,55.14,68.85,4,4/1/2020
"LETTUCE (LITSUGAS), 1 KG",2020,April,75.88,88.62,4,4/1/2020
"GREEN BEANS (BAGUIO BEANS), 1 KG",2020,April,45.08,58.85,4,4/1/2020
"SILING LABUYO (RED CHILI), 1 KG",2020,April,75.99,88.27,4,4/1/2020
"KOLITIS/URAY (AMARANTH), 1 KG",2020,April,35.99,48.62,4,4/1/2020
"TOGUE (BEAN SPROUTS), 1 KG",2020,April,17.05,24.94,4,4/1/2020
"PAKO (FIDDLEHEAD FERN), 1 KG",2020,April,45.88,58.04,4,4/1/2020
"MUSHROOM (OYSTER/FRESH), 1 KG",2020,April,125.12,148.44,4,4/1/2020
"TANGLAD (LEMON GRASS), 1 KG",2020,April,9.99,16.77,4,4/1/2020
"KUTSAY (CHIVES), 1 KG",2020,April,25.1,41.62,4,4/1/2020
"LABONG (BAMBOO SHOOT), 1 KG",2020,April,35.92,47.6,4,4/1/2020
"ARARU (ARROWROOT), 1 KG",2020,April,65.92,78.42,4,4/1/2020
"KAMOTE (SWEET POTATO), 1 KG",2020,April,35.92,47.34,4,4/1/2020
"GABI (TARO), 1 KG",2020,April,35.88,51.35,4,4/1/2020
"UBE (PURPLE YAM), 1 KG",2020,April,45.88,58.09,4,4/1/2020
"SINANDOMENG RICE, 1 KG",2020,April,46.9,46.13,4,4/1/2020
"DINORADO RICE, 1 KG",2020,April,49.92,49.85,4,4/1/2020
"JASMINE RICE, 1 KG",2020,April,50.02,50.91,4,4/1/2020
"MALAGKIT (STICKY RICE), 1 KG",2020,April,51.05,52.84,4,4/1/2020
"MILAGROSA RICE, 1 KG",2020,April,43.89,43.99,4,4/1/2020
"PINAWA (BROWN RICE), 1 KG",2020,April,59.26,60.58,4,4/1/2020
"PULANG BIGAS (RED RICE), 1 KG",2020,April,56.21,57.21,4,4/1/2020
"REPOLYO (CABBAGE), 1 KG",2021,April,71.78,91.12,4,4/1/2021
"KOLIFLOWER (CAULIFLOWER), 1 KG",2021,April,82.24,135.17,4,4/1/2021
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2021,April,35.44,35.81,4,4/1/2021
"ALUGBATI (MALABAR SPINACH), 1 KG",2021,April,66.42,58.7,4,4/1/2021
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2021,April,33.92,37.42,4,4/1/2021
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2021,April,31.6,36.93,4,4/1/2021
"GABI LEAVES (DAHON NG GABI), 1 KG",2021,April,79.29,80.67,4,4/1/2021
"KANGKONG (WATER SPINACH), 1 KG",2021,April,38.56,39.24,4,4/1/2021
"MALUNGGAY (MORINGA), 1 KG",2021,April,45.57,45.44,4,4/1/2021
"BOK CHOY (CHINESE CABBAGE), 1 KG",2021,April,57.52,66.62,4,4/1/2021
"PECHAY (NATIVE), 1 KG",2021,April,66.65,72.15,4,4/1/2021
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2021,April,111.27,110.23,4,4/1/2021
"SILING LABUYO (WILD CHILI), 1 KG",2021,April,220.89,266.37,4,4/1/2021
"SIBUYAS (ONION), 1 KG",2021,April,160.77,184.11,4,4/1/2021
"LABANOS (RADISH), 1 KG",2021,April,33.4,43.48,4,4/1/2021
"SITAW (STRING BEAN), 1 KG",2021,April,40.79,52.29,4,4/1/2021
"AMPALAYA (BITTER GOURD), 1 KG",2021,April,45.69,58,4,4/1/2021
"UPO (BOTTLE GOURD), 1 KG",2021,April,40.16,48.12,4,4/1/2021
"TALONG (EGGPLANT), (NATIVE), 1 KG",2021,April,35.02,47.42,4,4/1/2021
"LUYA (GINGER), 1 KG",2021,April,105.39,130.92,4,4/1/2021
"BAWANG (GARLIC), 1 KG",2021,April,195.06,223.46,4,4/1/2021
"KAMATIS (TOMATO), 1 KG",2021,April,45.01,63.49,4,4/1/2021
"KAROT (CARROT), 1 KG",2021,April,60.27,71.46,4,4/1/2021
"BROKOLI (BROCCOLI), 1 KG",2021,April,135.59,148.05,4,4/1/2021
"SINGKAMAS (JICAMA), 1 KG",2021,April,24.16,33.46,4,4/1/2021
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2021,April,135.5,148.23,4,4/1/2021
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2021,April,50.04,63.56,4,4/1/2021
"MUSTASA (MUSTARD LEAVE), 1 KG",2021,April,34.05,44.49,4,4/1/2021
"SAYOTE (CHAYOTE), 1 KG",2021,April,29.8,37.38,4,4/1/2021
"KALABASA (SQUASH), 1 KG",2021,April,20.37,30.32,4,4/1/2021
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2021,April,16.92,23.44,4,4/1/2021
"OKRA, 1 KG",2021,April,40.05,51.96,4,4/1/2021
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2021,April,105.44,131.06,4,4/1/2021
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2021,April,55.1,68.06,4,4/1/2021
"SAMPALOC (TAMARIND), 1 KG",2021,April,70.36,83.15,4,4/1/2021
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2021,April,40.08,52.67,4,4/1/2021
"PATOLA (SPONGE GOURD), 1 KG",2021,April,35.15,47.35,4,4/1/2021
"PATANI (LIMA BEAN), 1 KG",2021,April,40.05,52.45,4,4/1/2021
"SALUYOT (JUTE MALLOW), 1 KG",2021,April,35.88,47.85,4,4/1/2021
"KADYOS (PIGEON BEAN), 1 KG",2021,April,50.1,63.44,4,4/1/2021
"BATAW (HYACINTH BEAN), 1 KG",2021,April,40.12,53.37,4,4/1/2021
"KAMOTENG KAHOY (CASSAVA), 1 KG",2021,April,40.15,49.09,4,4/1/2021
"GABI (TARRO), 1 KG",2021,April,50.15,63.52,4,4/1/2021
"SILING-TAMBAN (BELL PEPPER), 1 KG",2021,April,70.03,83.61,4,4/1/2021
"PATATAS (POTATO), 1 KG",2021,April,60.03,73.83,4,4/1/2021
"LETTUCE (LITSUGAS), 1 KG",2021,April,80.05,93.26,4,4/1/2021
"GREEN BEANS (BAGUIO BEANS), 1 KG",2021,April,50.88,63.44,4,4/1/2021
"SILING LABUYO (RED CHILI), 1 KG",2021,April,80.88,94.67,4,4/1/2021
"KOLITIS/URAY (AMARANTH), 1 KG",2021,April,40.05,53.62,4,4/1/2021
"TOGUE (BEAN SPROUTS), 1 KG",2021,April,20.01,27.54,4,4/1/2021
"PAKO (FIDDLEHEAD FERN), 1 KG",2021,April,50.99,63.09,4,4/1/2021
"MUSHROOM (OYSTER/FRESH), 1 KG",2021,April,135.99,158.43,4,4/1/2021
"TANGLAD (LEMON GRASS), 1 KG",2021,April,10.88,18.83,4,4/1/2021
"KUTSAY (CHIVES), 1 KG",2021,April,30.99,46.87,4,4/1/2021
"LABONG (BAMBOO SHOOT), 1 KG",2021,April,40.88,53.35,4,4/1/2021
"ARARU (ARROWROOT), 1 KG",2021,April,70.14,83.68,4,4/1/2021
"KAMOTE (SWEET POTATO), 1 KG",2021,April,40.03,53.6,4,4/1/2021
"GABI (TARO), 1 KG",2021,April,40.03,57.1,4,4/1/2021
"UBE (PURPLE YAM), 1 KG",2021,April,50.12,63.46,4,4/1/2021
"SINANDOMENG RICE, 1 KG",2021,April,47.37,48.44,4,4/1/2021
"DINORADO RICE, 1 KG",2021,April,52.71,52.5,4,4/1/2021
"JASMINE RICE, 1 KG",2021,April,53.19,53.01,4,4/1/2021
"MALAGKIT (STICKY RICE), 1 KG",2021,April,54.05,55.77,4,4/1/2021
"MILAGROSA RICE, 1 KG",2021,April,47.28,46.63,4,4/1/2021
"PINAWA (BROWN RICE), 1 KG",2021,April,64.39,64.16,4,4/1/2021
"PULANG BIGAS (RED RICE), 1 KG",2021,April,58.86,59.9,4,4/1/2021
"REPOLYO (CABBAGE), 1 KG",2022,April,68.87,81.76,4,4/1/2022
"KOLIFLOWER (CAULIFLOWER), 1 KG",2022,April,128.89,162.8,4,4/1/2022
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2022,April,38.36,37.34,4,4/1/2022
"ALUGBATI (MALABAR SPINACH), 1 KG",2022,April,56.09,57.73,4,4/1/2022
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2022,April,41.25,40.61,4,4/1/2022
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2022,April,41.95,42.28,4,4/1/2022
"GABI LEAVES (DAHON NG GABI), 1 KG",2022,April,86.48,86.79,4,4/1/2022
"KANGKONG (WATER SPINACH), 1 KG",2022,April,42.29,44.32,4,4/1/2022
"MALUNGGAY (MORINGA), 1 KG",2022,April,47.54,49.26,4,4/1/2022
"BOK CHOY (CHINESE CABBAGE), 1 KG",2022,April,59.43,67.19,4,4/1/2022
"PECHAY (NATIVE), 1 KG",2022,April,72.06,82.69,4,4/1/2022
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2022,April,119.88,118.08,4,4/1/2022
"SILING LABUYO (WILD CHILI), 1 KG",2022,April,240.28,285.96,4,4/1/2022
"SIBUYAS (ONION), 1 KG",2022,April,180.88,201.65,4,4/1/2022
"LABANOS (RADISH), 1 KG",2022,April,38.65,48.4,4,4/1/2022
"SITAW (STRING BEAN), 1 KG",2022,April,45.24,57.11,4,4/1/2022
"AMPALAYA (BITTER GOURD), 1 KG",2022,April,50.79,63.44,4,4/1/2022
"UPO (BOTTLE GOURD), 1 KG",2022,April,45.33,53.26,4,4/1/2022
"TALONG (EGGPLANT), (NATIVE), 1 KG",2022,April,40.64,52.55,4,4/1/2022
"LUYA (GINGER), 1 KG",2022,April,115.25,145.97,4,4/1/2022
"BAWANG (GARLIC), 1 KG",2022,April,210.6,236.89,4,4/1/2022
"KAMATIS (TOMATO), 1 KG",2022,April,55.45,73.5,4,4/1/2022
"KAROT (CARROT), 1 KG",2022,April,65.99,76.42,4,4/1/2022
"BROKOLI (BROCCOLI), 1 KG",2022,April,145.07,158.05,4,4/1/2022
"SINGKAMAS (JICAMA), 1 KG",2022,April,27.87,36.33,4,4/1/2022
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2022,April,145.84,157.62,4,4/1/2022
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2022,April,55.2,67.69,4,4/1/2022
"MUSTASA (MUSTARD LEAVE), 1 KG",2022,April,37.6,47.85,4,4/1/2022
"SAYOTE (CHAYOTE), 1 KG",2022,April,32.71,40.09,4,4/1/2022
"KALABASA (SQUASH), 1 KG",2022,April,25.14,34.54,4,4/1/2022
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2022,April,18.05,25.72,4,4/1/2022
"OKRA, 1 KG",2022,April,45.22,57.42,4,4/1/2022
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2022,April,125.17,150.95,4,4/1/2022
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2022,April,60.33,73.06,4,4/1/2022
"SAMPALOC (TAMARIND), 1 KG",2022,April,75.14,88.43,4,4/1/2022
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2022,April,45.02,57.27,4,4/1/2022
"PATOLA (SPONGE GOURD), 1 KG",2022,April,40.09,52.22,4,4/1/2022
"PATANI (LIMA BEAN), 1 KG",2022,April,45.77,57.34,4,4/1/2022
"SALUYOT (JUTE MALLOW), 1 KG",2022,April,40.11,52.76,4,4/1/2022
"KADYOS (PIGEON BEAN), 1 KG",2022,April,55.88,69.34,4,4/1/2022
"BATAW (HYACINTH BEAN), 1 KG",2022,April,45.88,58.01,4,4/1/2022
"KAMOTENG KAHOY (CASSAVA), 1 KG",2022,April,45.92,53.85,4,4/1/2022
"GABI (TARRO), 1 KG",2022,April,55.99,68.67,4,4/1/2022
"SILING-TAMBAN (BELL PEPPER), 1 KG",2022,April,75.88,88.61,4,4/1/2022
"PATATAS (POTATO), 1 KG",2022,April,65.88,78.83,4,4/1/2022
"LETTUCE (LITSUGAS), 1 KG",2022,April,85.92,98.01,4,4/1/2022
"GREEN BEANS (BAGUIO BEANS), 1 KG",2022,April,55.03,68.42,4,4/1/2022
"SILING LABUYO (RED CHILI), 1 KG",2022,April,85.11,98.78,4,4/1/2022
"KOLITIS/URAY (AMARANTH), 1 KG",2022,April,45.88,57.87,4,4/1/2022
"TOGUE (BEAN SPROUTS), 1 KG",2022,April,22.88,29.46,4,4/1/2022
"PAKO (FIDDLEHEAD FERN), 1 KG",2022,April,55.05,68.2,4,4/1/2022
"MUSHROOM (OYSTER/FRESH), 1 KG",2022,April,145.99,167.54,4,4/1/2022
"TANGLAD (LEMON GRASS), 1 KG",2022,April,12.01,20.92,4,4/1/2022
"KUTSAY (CHIVES), 1 KG",2022,April,35.15,51.56,4,4/1/2022
"LABONG (BAMBOO SHOOT), 1 KG",2022,April,45.92,58.69,4,4/1/2022
"ARARU (ARROWROOT), 1 KG",2022,April,75.92,88.27,4,4/1/2022
"KAMOTE (SWEET POTATO), 1 KG",2022,April,45.12,57.82,4,4/1/2022
"GABI (TARO), 1 KG",2022,April,45.92,61.35,4,4/1/2022
"UBE (PURPLE YAM), 1 KG",2022,April,55.99,68.02,4,4/1/2022
"SINANDOMENG RICE, 1 KG",2022,April,49.93,51.22,4,4/1/2022
"DINORADO RICE, 1 KG",2022,April,53.26,54.99,4,4/1/2022
"JASMINE RICE, 1 KG",2022,April,56.12,55.69,4,4/1/2022
"MALAGKIT (STICKY RICE), 1 KG",2022,April,59.17,58.36,4,4/1/2022
"MILAGROSA RICE, 1 KG",2022,April,48.45,48.61,4,4/1/2022
"PINAWA (BROWN RICE), 1 KG",2022,April,65.21,66.9,4,4/1/2022
"PULANG BIGAS (RED RICE), 1 KG",2022,April,63.4,63.38,4,4/1/2022
"REPOLYO (CABBAGE), 1 KG",2023,April,75.74,92.47,4,4/1/2023
"KOLIFLOWER (CAULIFLOWER), 1 KG",2023,April,129.08,182.78,4,4/1/2023
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2023,April,36.27,36.15,4,4/1/2023
"ALUGBATI (MALABAR SPINACH), 1 KG",2023,April,66.03,61.09,4,4/1/2023
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2023,April,40.99,43.78,4,4/1/2023
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2023,April,48.94,47.73,4,4/1/2023
"GABI LEAVES (DAHON NG GABI), 1 KG",2023,April,87.85,86.49,4,4/1/2023
"KANGKONG (WATER SPINACH), 1 KG",2023,April,49.48,48.23,4,4/1/2023
"MALUNGGAY (MORINGA), 1 KG",2023,April,60.76,59.13,4,4/1/2023
"BOK CHOY (CHINESE CABBAGE), 1 KG",2023,April,68.53,76.33,4,4/1/2023
"PECHAY (NATIVE), 1 KG",2023,April,75.96,85.33,4,4/1/2023
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2023,April,147.54,142.61,4,4/1/2023
"SILING LABUYO (WILD CHILI), 1 KG",2023,April,270.62,315.56,4,4/1/2023
"SIBUYAS (ONION), 1 KG",2023,April,200.08,220.88,4,4/1/2023
"LABANOS (RADISH), 1 KG",2023,April,43.19,53.43,4,4/1/2023
"SITAW (STRING BEAN), 1 KG",2023,April,50.14,63.06,4,4/1/2023
"AMPALAYA (BITTER GOURD), 1 KG",2023,April,55.9,68.06,4,4/1/2023
"UPO (BOTTLE GOURD), 1 KG",2023,April,50.75,58.88,4,4/1/2023
"TALONG (EGGPLANT), (NATIVE), 1 KG",2023,April,45.19,57.07,4,4/1/2023
"LUYA (GINGER), 1 KG",2023,April,135.94,166.08,4,4/1/2023
"BAWANG (GARLIC), 1 KG",2023,April,230.09,257.02,4,4/1/2023
"KAMATIS (TOMATO), 1 KG",2023,April,65.92,83.63,4,4/1/2023
"KAROT (CARROT), 1 KG",2023,April,70.73,82.14,4,4/1/2023
"BROKOLI (BROCCOLI), 1 KG",2023,April,155.18,168.07,4,4/1/2023
"SINGKAMAS (JICAMA), 1 KG",2023,April,30.34,39.95,4,4/1/2023
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2023,April,155.47,168.03,4,4/1/2023
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2023,April,60.44,72.68,4,4/1/2023
"MUSTASA (MUSTARD LEAVE), 1 KG",2023,April,40.94,50.85,4,4/1/2023
"SAYOTE (CHAYOTE), 1 KG",2023,April,35.22,43.55,4,4/1/2023
"KALABASA (SQUASH), 1 KG",2023,April,28.05,37.25,4,4/1/2023
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2023,April,20.08,28.23,4,4/1/2023
"OKRA, 1 KG",2023,April,50.88,62.35,4,4/1/2023
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2023,April,145.77,172.01,4,4/1/2023
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2023,April,65.15,78.46,4,4/1/2023
"SAMPALOC (TAMARIND), 1 KG",2023,April,80.02,92.43,4,4/1/2023
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2023,April,50.88,62.68,4,4/1/2023
"PATOLA (SPONGE GOURD), 1 KG",2023,April,45.11,58.66,4,4/1/2023
"PATANI (LIMA BEAN), 1 KG",2023,April,50.15,63.11,4,4/1/2023
"SALUYOT (JUTE MALLOW), 1 KG",2023,April,45.12,57.99,4,4/1/2023
"KADYOS (PIGEON BEAN), 1 KG",2023,April,60.11,74.67,4,4/1/2023
"BATAW (HYACINTH BEAN), 1 KG",2023,April,50.15,63.09,4,4/1/2023
"KAMOTENG KAHOY (CASSAVA), 1 KG",2023,April,50.05,58.93,4,4/1/2023
"GABI (TARRO), 1 KG",2023,April,60.05,73.61,4,4/1/2023
"SILING-TAMBAN (BELL PEPPER), 1 KG",2023,April,80.05,93.27,4,4/1/2023
"PATATAS (POTATO), 1 KG",2023,April,70.11,83.85,4,4/1/2023
"LETTUCE (LITSUGAS), 1 KG",2023,April,90.11,103.27,4,4/1/2023
"GREEN BEANS (BAGUIO BEANS), 1 KG",2023,April,60.88,73.85,4,4/1/2023
"SILING LABUYO (RED CHILI), 1 KG",2023,April,90.05,103.02,4,4/1/2023
"KOLITIS/URAY (AMARANTH), 1 KG",2023,April,50.03,62.79,4,4/1/2023
"TOGUE (BEAN SPROUTS), 1 KG",2023,April,25.11,32.67,4,4/1/2023
"PAKO (FIDDLEHEAD FERN), 1 KG",2023,April,60.88,73.71,4,4/1/2023
"MUSHROOM (OYSTER/FRESH), 1 KG",2023,April,155.12,179.19,4,4/1/2023
"TANGLAD (LEMON GRASS), 1 KG",2023,April,14.88,23.94,4,4/1/2023
"KUTSAY (CHIVES), 1 KG",2023,April,40.05,56.68,4,4/1/2023
"LABONG (BAMBOO SHOOT), 1 KG",2023,April,50.03,63.43,4,4/1/2023
"ARARU (ARROWROOT), 1 KG",2023,April,80.05,93.26,4,4/1/2023
"KAMOTE (SWEET POTATO), 1 KG",2023,April,50.03,62.79,4,4/1/2023
"GABI (TARO), 1 KG",2023,April,50.12,66.69,4,4/1/2023
"UBE (PURPLE YAM), 1 KG",2023,April,60.12,73.44,4,4/1/2023
"SINANDOMENG RICE, 1 KG",2023,April,54.25,53.66,4,4/1/2023
"DINORADO RICE, 1 KG",2023,April,56.77,57.6,4,4/1/2023
"JASMINE RICE, 1 KG",2023,April,58.73,58.55,4,4/1/2023
"MALAGKIT (STICKY RICE), 1 KG",2023,April,61.54,61.48,4,4/1/2023
"MILAGROSA RICE, 1 KG",2023,April,50.15,51.08,4,4/1/2023
"PINAWA (BROWN RICE), 1 KG",2023,April,69.17,70.51,4,4/1/2023
"PULANG BIGAS (RED RICE), 1 KG",2023,April,67.09,66.79,4,4/1/2023
"REPOLYO (CABBAGE), 1 KG",2024,April,76.04,86.37,4,4/1/2024
"KOLIFLOWER (CAULIFLOWER), 1 KG",2024,April,118.54,175.04,4,4/1/2024
"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",2024,April,37.82,34.58,4,4/1/2024
"ALUGBATI (MALABAR SPINACH), 1 KG",2024,April,65.03,63.99,4,4/1/2024
"CAMOTE TOPS (TALBOS NG KAMOTE), 1 KG",2024,April,47,49.75,4,4/1/2024
"CHAYOTE LEAVES (DAHON NG SAYOTE), 1 KG",2024,April,48.96,47.31,4,4/1/2024
"GABI LEAVES (DAHON NG GABI), 1 KG",2024,April,87.9,91.65,4,4/1/2024
"KANGKONG (WATER SPINACH), 1 KG",2024,April,51.89,53.12,4,4/1/2024
"MALUNGGAY (MORINGA), 1 KG",2024,April,54.88,57.32,4,4/1/2024
"BOK CHOY (CHINESE CABBAGE), 1 KG",2024,April,64.93,77.77,4,4/1/2024
"PECHAY (NATIVE), 1 KG",2024,April,80.59,93.3,4,4/1/2024
"DAHON NG SIBUYAS (ONION LEAVES), 1 KG",2024,April,130.15,140.87,4,4/1/2024
"SILING LABUYO (WILD CHILI), 1 KG",2024,April,295.14,339.14,4,4/1/2024
"SIBUYAS (ONION), 1 KG",2024,April,220.91,243.43,4,4/1/2024
"LABANOS (RADISH), 1 KG",2024,April,48.06,57.59,4,4/1/2024
"SITAW (STRING BEAN), 1 KG",2024,April,55.19,67.29,4,4/1/2024
"AMPALAYA (BITTER GOURD), 1 KG",2024,April,60.18,73.41,4,4/1/2024
"UPO (BOTTLE GOURD), 1 KG",2024,April,55.88,64.31,4,4/1/2024
"TALONG (EGGPLANT), (NATIVE), 1 KG",2024,April,50.77,63.01,4,4/1/2024
"LUYA (GINGER), 1 KG",2024,April,155.12,184.94,4,4/1/2024
"BAWANG (GARLIC), 1 KG",2024,April,250.43,276.77,4,4/1/2024
"KAMATIS (TOMATO), 1 KG",2024,April,75.58,93.24,4,4/1/2024
"KAROT (CARROT), 1 KG",2024,April,75.05,87.2,4,4/1/2024
"BROKOLI (BROCCOLI), 1 KG",2024,April,165.04,178.98,4,4/1/2024
"SINGKAMAS (JICAMA), 1 KG",2024,April,33.65,42.48,4,4/1/2024
SIBUYAS NA PUTI (WHITE ONION) 1 KG,2024,April,165.27,178.99,4,4/1/2024
"BAGUIO PECHAY (NAPA CABBAGE), 1 KG",2024,April,65.28,77.63,4,4/1/2024
"MUSTASA (MUSTARD LEAVE), 1 KG",2024,April,43.04,54.32,4,4/1/2024
"SAYOTE (CHAYOTE), 1 KG",2024,April,38.74,46.24,4,4/1/2024
"KALABASA (SQUASH), 1 KG",2024,April,30.01,40.78,4,4/1/2024
"SQUASH BLOSSOM (BULAKLAK NG KALABASA), 1 KG",2024,April,22.03,30.73,4,4/1/2024
"OKRA, 1 KG",2024,April,55.99,67.65,4,4/1/2024
"LUYANG DILAW (TURMERIC GINGER), 1 KG",2024,April,165.11,195.87,4,4/1/2024
"SILING-GREEN (CHILI),  (GREEN/LONG), 1 KG",2024,April,70.92,83.62,4,4/1/2024
"SAMPALOC (TAMARIND), 1 KG",2024,April,85.77,98.08,4,4/1/2024
"TALONG(EGGPLANT),  (ROUND/PURPLE), 1 KG",2024,April,55.99,68.45,4,4/1/2024
"PATOLA (SPONGE GOURD), 1 KG",2024,April,50.12,63.6,4,4/1/2024
"PATANI (LIMA BEAN), 1 KG",2024,April,55.04,68.39,4,4/1/2024
"SALUYOT (JUTE MALLOW), 1 KG",2024,April,50.03,62.78,4,4/1/2024
"KADYOS (PIGEON BEAN), 1 KG",2024,April,65.88,78.86,4,4/1/2024
"BATAW (HYACINTH BEAN), 1 KG",2024,April,55.05,68.43,4,4/1/2024
"KAMOTENG KAHOY (CASSAVA), 1 KG",2024,April,55.99,64.03,4,4/1/2024
"GABI (TARRO), 1 KG",2024,April,60.99,77.22,4,4/1/2024
"SILING-TAMBAN (BELL PEPPER), 1 KG",2024,April,85.11,97.94,4,4/1/2024
"PATATAS (POTATO), 1 KG",2024,April,75.05,88.61,4,4/1/2024
"LETTUCE (LITSUGAS), 1 KG",2024,April,95.05,108.21,4,4/1/2024
"GREEN BEANS (BAGUIO BEANS), 1 KG",2024,April,65.05,78.77,4,4/1/2024
"SILING LABUYO (RED CHILI), 1 KG",2024,April,95.92,108.26,4,4/1/2024
"KOLITIS/URAY (AMARANTH), 1 KG",2024,April,55.92,67.77,4,4/1/2024
